Year,DOY,hour,minute,Global Horizontal [W/m^2]
2017,365,23,0,-1.78325
2017,365,23,1,-1.7151
2017,365,23,2,-1.70375
2017,365,23,3,-1.70375
2017,365,23,4,-1.70376
2017,365,23,5,-1.70377
2017,365,23,6,-1.70377
2017,365,23,7,-1.70378
2017,365,23,8,-1.70378
2017,365,23,9,-1.70378
2017,365,23,10,-1.70379
2017,365,23,11,-1.72083
2017,365,23,12,-1.73219
2017,365,23,13,-1.80035
2017,365,23,14,-1.80603
2017,365,23,15,-1.75492
2017,365,23,16,-1.7322
2017,365,23,17,-1.70381
2017,365,23,18,-1.70381
2017,365,23,19,-1.70382
2017,365,23,20,-1.69814
2017,365,23,21,-1.70383
2017,365,23,22,-1.69247
2017,365,23,23,-1.69248
2017,365,23,24,-1.70384
2017,365,23,25,-1.70384
2017,365,23,26,-1.74928
2017,365,23,27,-1.86288
2017,365,23,28,-1.80041
2017,365,23,29,-1.74931
2017,365,23,30,-1.70955
2017,365,23,31,-1.70957
2017,365,23,32,-1.7039
2017,365,23,33,-1.70392
2017,365,23,34,-1.70392
2017,365,23,35,-1.70394
2017,365,23,36,-1.70395
2017,365,23,37,-1.70396
2017,365,23,38,-1.70397
2017,365,23,39,-1.67558
2017,365,23,40,-1.59607
2017,365,23,41,-1.54496
2017,365,23,42,-1.55633
2017,365,23,43,-1.52793
2017,365,23,44,-1.52794
2017,365,23,45,-1.52227
2017,365,23,46,-1.50523
2017,365,23,47,-1.5734
2017,365,23,48,-1.62453
2017,365,23,49,-1.69837
2017,365,23,50,-1.70406
2017,365,23,51,-1.70406
2017,365,23,52,-1.70407
2017,365,23,53,-1.70407
2017,365,23,54,-1.70408
2017,365,23,55,-1.68135
2017,365,23,56,-1.60752
2017,365,23,57,-1.70408
2017,365,23,58,-1.70409
2017,365,23,59,-1.63593
2018,1,0,0,-1.53937
2018,1,0,1,-1.46553
2018,1,0,2,-1.36898
2018,1,0,3,-1.40307
2018,1,0,4,-1.46557
2018,1,0,5,-1.43149
2018,1,0,6,-1.48831
2018,1,0,7,-1.48832
2018,1,0,8,-1.4997
2018,1,0,9,-1.49403
2018,1,0,10,-1.48836
2018,1,0,11,-1.48837
2018,1,0,12,-1.56223
2018,1,0,13,-1.52247
2018,1,0,14,-1.55089
2018,1,0,15,-1.51113
2018,1,0,16,-1.5225
2018,1,0,17,-1.50547
2018,1,0,18,-1.60205
2018,1,0,19,-1.60206
2018,1,0,20,-1.60774
2018,1,0,21,-1.57367
2018,1,0,22,-1.52254
2018,1,0,23,-1.54527
2018,1,0,24,-1.53391
2018,1,0,25,-1.53392
2018,1,0,26,-1.5396
2018,1,0,27,-1.52824
2018,1,0,28,-1.49416
2018,1,0,29,-1.47144
2018,1,0,30,-1.53393
2018,1,0,31,-1.50553
2018,1,0,32,-1.51121
2018,1,0,33,-1.53962
2018,1,0,34,-1.57939
2018,1,0,35,-1.57939
2018,1,0,36,-1.57939
2018,1,0,37,-1.53395
2018,1,0,38,-1.52827
2018,1,0,39,-1.53963
2018,1,0,40,-1.53963
2018,1,0,41,-1.5794
2018,1,0,42,-1.4885
2018,1,0,43,-1.50555
2018,1,0,44,-1.56236
2018,1,0,45,-1.57372
2018,1,0,46,-1.69303
2018,1,0,47,-1.7044
2018,1,0,48,-1.69872
2018,1,0,49,-1.69304
2018,1,0,50,-1.7044
2018,1,0,51,-1.67599
2018,1,0,52,-1.69872
2018,1,0,53,-1.7044
2018,1,0,54,-1.69872
2018,1,0,55,-1.69304
2018,1,0,56,-1.59646
2018,1,0,57,-1.57373
2018,1,0,58,-1.64759
2018,1,0,59,-1.6135
2018,1,1,0,-1.57373
2018,1,1,1,-1.53396
2018,1,1,2,-1.56237
2018,1,1,3,-1.51692
2018,1,1,4,-1.50555
2018,1,1,5,-1.51692
2018,1,1,6,-1.47147
2018,1,1,7,-1.5226
2018,1,1,8,-1.5226
2018,1,1,9,-1.56237
2018,1,1,10,-1.66463
2018,1,1,11,-1.69872
2018,1,1,12,-1.68736
2018,1,1,13,-1.63623
2018,1,1,14,-1.63054
2018,1,1,15,-1.57373
2018,1,1,16,-1.59078
2018,1,1,17,-1.70441
2018,1,1,18,-1.70441
2018,1,1,19,-1.70442
2018,1,1,20,-1.70442
2018,1,1,21,-1.70444
2018,1,1,22,-1.70444
2018,1,1,23,-1.70446
2018,1,1,24,-1.70446
2018,1,1,25,-1.70448
2018,1,1,26,-1.70448
2018,1,1,27,-1.7045
2018,1,1,28,-1.7045
2018,1,1,29,-1.70451
2018,1,1,30,-1.70452
2018,1,1,31,-1.68748
2018,1,1,32,-1.64771
2018,1,1,33,-1.60227
2018,1,1,34,-1.63637
2018,1,1,35,-1.55683
2018,1,1,36,-1.60229
2018,1,1,37,-1.5398
2018,1,1,38,-1.52844
2018,1,1,39,-1.56254
2018,1,1,40,-1.55686
2018,1,1,41,-1.51141
2018,1,1,42,-1.53415
2018,1,1,43,-1.52279
2018,1,1,44,-1.43756
2018,1,1,45,-1.45461
2018,1,1,46,-1.47167
2018,1,1,47,-1.47167
2018,1,1,48,-1.47736
2018,1,1,49,-1.51145
2018,1,1,50,-1.44895
2018,1,1,51,-1.48305
2018,1,1,52,-1.52851
2018,1,1,53,-1.65352
2018,1,1,54,-1.63648
2018,1,1,55,-1.5967
2018,1,1,56,-1.60239
2018,1,1,57,-1.69899
2018,1,1,58,-1.70467
2018,1,1,59,-1.70467
2018,1,2,0,-1.69899
2018,1,2,1,-1.67626
2018,1,2,2,-1.70468
2018,1,2,3,-1.70468
2018,1,2,4,-1.70469
2018,1,2,5,-1.7047
2018,1,2,6,-1.69903
