Year,DOY,hour,minute,Global Horiz [W/m^2]
2017,143,18,0,227.35
2017,143,18,1,187.36
2017,143,18,2,214.98
2017,143,18,3,217.62
2017,143,18,4,217.43
2017,143,18,5,214.22
2017,143,18,6,208.21
2017,143,18,7,194.19
2017,143,18,8,189.87
2017,143,18,9,187.37
2017,143,18,10,187.9
2017,143,18,11,186.52
2017,143,18,12,186.41
2017,143,18,13,184.91
2017,143,18,14,178.38
2017,143,18,15,168.79
2017,143,18,16,163.74
2017,143,18,17,158.35
2017,143,18,18,160
2017,143,18,19,158.43
2017,143,18,20,149.71
2017,143,18,21,145.6
2017,143,18,22,131.66
2017,143,18,23,135.6
2017,143,18,24,135.23
2017,143,18,25,132.37
2017,143,18,26,133.69
2017,143,18,27,129.17
2017,143,18,28,113.32
2017,143,18,29,95.668
2017,143,18,30,81.672
2017,143,18,31,77.48
2017,143,18,32,78.73
2017,143,18,33,77.979
2017,143,18,34,76.88
2017,143,18,35,77.179
2017,143,18,36,81.805
2017,143,18,37,89.171
2017,143,18,38,90.504
2017,143,18,39,88.075
2017,143,18,40,80.817
2017,143,18,41,75.166
2017,143,18,42,78.81
2017,143,18,43,85.302
2017,143,18,44,90.169
2017,143,18,45,94.66
2017,143,18,46,96.615
2017,143,18,47,88.489
2017,143,18,48,77.358
2017,143,18,49,72.674
2017,143,18,50,72.996
2017,143,18,51,75.036
2017,143,18,52,72.886
2017,143,18,53,67.121
2017,143,18,54,64.646
2017,143,18,55,67.294
2017,143,18,56,66.116
2017,143,18,57,60.353
2017,143,18,58,59.778
2017,143,18,59,59.874
2017,143,19,0,58.781
2017,143,19,1,56.314
2017,143,19,2,54.224
2017,143,19,3,52.904
2017,143,19,4,49.543
2017,143,19,5,46.477
2017,143,19,6,44.328
2017,143,19,7,41.589
2017,143,19,8,37.858
2017,143,19,9,34.265
2017,143,19,10,31.51
2017,143,19,11,29.358
2017,143,19,12,26.316
2017,143,19,13,23.342
2017,143,19,14,21.264
2017,143,19,15,19.423
2017,143,19,16,17.104
2017,143,19,17,15.088
2017,143,19,18,13.816
2017,143,19,19,12.061
2017,143,19,20,9.9364
2017,143,19,21,8.0982
2017,143,19,22,6.8851
2017,143,19,23,5.7735
2017,143,19,24,4.6126
2017,143,19,25,3.6951
2017,143,19,26,2.839
2017,143,19,27,2.0908
2017,143,19,28,1.786
2017,143,19,29,1.3179
2017,143,19,30,0.86527
2017,143,19,31,0.38799
2017,143,19,32,-0.07698
2017,143,19,33,-0.50808
2017,143,19,34,-0.84065
2017,143,19,35,-1.1794
2017,143,19,36,-1.4688
2017,143,19,37,-1.6721
2017,143,19,38,-1.8445
2017,143,19,39,-1.8476
2017,143,19,40,-1.8476
2017,143,19,41,-1.8476
2017,143,19,42,-1.8476
2017,143,19,43,-1.8507
2017,143,19,44,-1.8476
2017,143,19,45,-1.8476
2017,143,19,46,-1.8476
2017,143,19,47,-1.8476
2017,143,19,48,-1.8477
2017,143,19,49,-1.8477
2017,143,19,50,-1.8477
2017,143,19,51,-1.8477
2017,143,19,52,-1.8169
2017,143,19,53,-1.5213
2017,143,19,54,-1.4351
2017,143,19,55,-1.1795
2017,143,19,56,-1.1087
2017,143,19,57,-1.0779
2017,143,19,58,-0.81305
2017,143,19,59,-0.76685
2017,143,20,0,-1.0749
2017,143,20,1,-1.1088
2017,143,20,2,-1.1642
2017,143,20,3,-1.4476
2017,143,20,4,-1.5061
2017,143,20,5,-1.7125
2017,143,20,6,-1.728
2017,143,20,7,-1.5647
2017,143,20,8,-1.7187
2017,143,20,9,-1.8481
2017,143,20,10,-1.8481
2017,143,20,11,-1.8482
2017,143,20,12,-1.8482
2017,143,20,13,-1.8482
2017,143,20,14,-1.8482
2017,143,20,15,-1.839
2017,143,20,16,-1.8328
2017,143,20,17,-1.8482
2017,143,20,18,-1.8482
2017,143,20,19,-1.8482
2017,143,20,20,-1.8483
2017,143,20,21,-1.8483
2017,143,20,22,-1.8483
2017,143,20,23,-1.8483
2017,143,20,24,-1.8483
2017,143,20,25,-1.8483
2017,143,20,26,-1.8483
2017,143,20,27,-1.8452
2017,143,20,28,-1.7528
2017,143,20,29,-1.6173
2017,143,20,30,-1.5557
2017,143,20,31,-1.7282
2017,143,20,32,-1.8298
2017,143,20,33,-1.8483
2017,143,20,34,-1.8206
2017,143,20,35,-1.5988
2017,143,20,36,-1.4941
2017,143,20,37,-1.4787
2017,143,20,38,-1.4787
2017,143,20,39,-1.4787
2017,143,20,40,-1.4787
2017,143,20,41,-1.4756
2017,143,20,42,-1.3585
2017,143,20,43,-1.3123
2017,143,20,44,-1.3462
2017,143,20,45,-1.4047
2017,143,20,46,-1.4787
2017,143,20,47,-1.4787
2017,143,20,48,-1.4787
2017,143,20,49,-1.5619
2017,143,20,50,-1.5988
2017,143,20,51,-1.4818
2017,143,20,52,-1.4694
2017,143,20,53,-1.3616
2017,143,20,54,-1.3462
2017,143,20,55,-1.4633
2017,143,20,56,-1.4787
2017,143,20,57,-1.4787
2017,143,20,58,-1.4787
2017,143,20,59,-1.4787
2017,143,21,0,-1.4787
2017,143,21,1,-1.4787
2017,143,21,2,-1.4787
2017,143,21,3,-1.4787
2017,143,21,4,-1.3832
2017,143,21,5,-1.1398
2017,143,21,6,-1.109
2017,143,21,7,-1.109
2017,143,21,8,-1.109
