Year,DOY,hour,minute,Global Horizontal [W/m^2]
2017,146,23,0,-1.39314
2017,146,23,1,-1.29121
2017,146,23,2,-1.25157
2017,146,23,3,-1.22326
2017,146,23,4,-1.27989
2017,146,23,5,-1.29123
2017,146,23,6,-1.2176
2017,146,23,7,-1.20062
2017,146,23,8,-1.20628
2017,146,23,9,-1.29124
2017,146,23,10,-1.34787
2017,146,23,11,-1.39318
2017,146,23,12,-1.38186
2017,146,23,13,-1.39885
2017,146,23,14,-1.41584
2017,146,23,15,-1.38187
2017,146,23,16,-1.47815
2017,146,23,17,-1.37054
2017,146,23,18,-1.47815
2017,146,23,19,-1.47815
2017,146,23,20,-1.44984
2017,146,23,21,-1.39887
2017,146,23,22,-1.33657
2017,146,23,23,-1.29693
2017,146,23,24,-1.24029
2017,146,23,25,-1.18366
2017,146,23,26,-1.18932
2017,146,23,27,-1.18366
2017,146,23,28,-1.18366
2017,146,23,29,-1.22331
2017,146,23,30,-1.19499
2017,146,23,31,-1.25729
2017,146,23,32,-1.23463
2017,146,23,33,-1.21198
2017,146,23,34,-1.23464
2017,146,23,35,-1.26862
2017,146,23,36,-1.35923
2017,146,23,37,-1.42153
2017,146,23,38,-1.34224
2017,146,23,39,-1.35357
2017,146,23,40,-1.42153
2017,146,23,41,-1.33658
2017,146,23,42,-1.29127
2017,146,23,43,-1.38189
2017,146,23,44,-1.30826
2017,146,23,45,-1.33658
2017,146,23,46,-1.35923
2017,146,23,47,-1.4725
2017,146,23,48,-1.52914
2017,146,23,49,-1.60843
2017,146,23,50,-1.68772
2017,146,23,51,-1.69904
2017,146,23,52,-1.69904
2017,146,23,53,-1.69904
2017,146,23,54,-1.69904
2017,146,23,55,-1.69904
2017,146,23,56,-1.69904
2017,146,23,57,-1.69904
2017,146,23,58,-1.69904
2017,146,23,59,-1.69904
2017,147,0,0,-1.69904
2017,147,0,1,-1.69904
2017,147,0,2,-1.69904
2017,147,0,3,-1.69904
2017,147,0,4,-1.69904
2017,147,0,5,-1.69904
2017,147,0,6,-1.69904
2017,147,0,7,-1.69904
2017,147,0,8,-1.69904
2017,147,0,9,-1.67073
2017,147,0,10,-1.68205
2017,147,0,11,-1.69338
2017,147,0,12,-1.69904
2017,147,0,13,-1.69904
2017,147,0,14,-1.69904
2017,147,0,15,-1.69904
2017,147,0,16,-1.69904
2017,147,0,17,-1.69904
2017,147,0,18,-1.69904
2017,147,0,19,-1.69904
2017,147,0,20,-1.69904
2017,147,0,21,-1.69904
2017,147,0,22,-1.69904
2017,147,0,23,-1.69904
2017,147,0,24,-1.69904
2017,147,0,25,-1.68772
2017,147,0,26,-1.69904
2017,147,0,27,-1.69904
2017,147,0,28,-1.69904
2017,147,0,29,-1.69904
2017,147,0,30,-1.69904
2017,147,0,31,-1.69904
2017,147,0,32,-1.69904
2017,147,0,33,-1.69904
2017,147,0,34,-1.69904
2017,147,0,35,-1.69904
2017,147,0,36,-1.69904
2017,147,0,37,-1.69904
2017,147,0,38,-1.69904
2017,147,0,39,-1.69904
2017,147,0,40,-1.69904
2017,147,0,41,-1.69904
2017,147,0,42,-1.69904
2017,147,0,43,-1.69904
2017,147,0,44,-1.69904
2017,147,0,45,-1.69904
2017,147,0,46,-1.69904
2017,147,0,47,-1.69904
2017,147,0,48,-1.69904
2017,147,0,49,-1.69904
2017,147,0,50,-1.70471
2017,147,0,51,-1.71037
2017,147,0,52,-1.73303
2017,147,0,53,-1.69904
2017,147,0,54,-1.69904
2017,147,0,55,-1.69904
2017,147,0,56,-1.70471
2017,147,0,57,-1.73303
2017,147,0,58,-1.71037
2017,147,0,59,-1.69904
2017,147,1,0,-1.75001
2017,147,1,1,-1.84629
2017,147,1,2,-1.84063
2017,147,1,3,-1.86328
2017,147,1,4,-2.02753
2017,147,1,5,-2.19177
2017,147,1,6,-2.19743
2017,147,1,7,-2.18044
2017,147,1,8,-2.1861
2017,147,1,9,-2.19743
2017,147,1,10,-2.19177
2017,147,1,11,-2.04452
2017,147,1,12,-1.88028
2017,147,1,13,-1.71603
2017,147,1,14,-1.69904
2017,147,1,15,-1.72736
2017,147,1,16,-1.70471
2017,147,1,17,-1.69904
2017,147,1,18,-1.71603
2017,147,1,19,-1.76134
2017,147,1,20,-1.77267
2017,147,1,21,-1.70471
2017,147,1,22,-1.69904
2017,147,1,23,-1.69904
2017,147,1,24,-1.70471
2017,147,1,25,-1.70471
2017,147,1,26,-1.784
2017,147,1,27,-1.87461
2017,147,1,28,-1.8916
2017,147,1,29,-1.81231
2017,147,1,30,-1.80099
2017,147,1,31,-1.83497
2017,147,1,32,-1.81798
2017,147,1,33,-1.81231
2017,147,1,34,-1.784
2017,147,1,35,-1.79532
2017,147,1,36,-1.69904
2017,147,1,37,-1.69904
2017,147,1,38,-1.69904
2017,147,1,39,-1.69904
2017,147,1,40,-1.69904
2017,147,1,41,-1.69904
2017,147,1,42,-1.69904
2017,147,1,43,-1.69904
2017,147,1,44,-1.69904
2017,147,1,45,-1.69904
2017,147,1,46,-1.69904
2017,147,1,47,-1.69904
2017,147,1,48,-1.69904
2017,147,1,49,-1.70471
2017,147,1,50,-1.71038
2017,147,1,51,-1.72739
2017,147,1,52,-1.75571
2017,147,1,53,-1.76138
2017,147,1,54,-1.75572
2017,147,1,55,-1.81236
2017,147,1,56,-1.86334
2017,147,1,57,-1.94263
2017,147,1,58,-1.95962
2017,147,1,59,-1.91997
2017,147,2,0,-1.87466
2017,147,2,1,-1.98793
2017,147,2,2,-2.02191
2017,147,2,3,-2.14085
2017,147,2,4,-2.18615
2017,147,2,5,-2.20314
2017,147,2,6,-2.12952
2017,147,2,7,-2.10121
2017,147,2,8,-2.01059
2017,147,2,9,-1.903
2017,147,2,10,-1.81805
2017,147,2,11,-1.70479
2017,147,2,12,-1.69913
2017,147,2,13,-1.69913
2017,147,2,14,-1.71613
2017,147,2,15,-1.71047
2017,147,2,16,-1.71047
2017,147,2,17,-1.70481
2017,147,2,18,-1.70482
2017,147,2,19,-1.69916
2017,147,2,20,-1.69917
2017,147,2,21,-1.69917
2017,147,2,22,-1.69918
2017,147,2,23,-1.69919
2017,147,2,24,-1.6992
2017,147,2,25,-1.6992
2017,147,2,26,-1.69922
2017,147,2,27,-1.69922
2017,147,2,28,-1.69923
2017,147,2,29,-1.69923
2017,147,2,30,-1.69925
2017,147,2,31,-1.69925
2017,147,2,32,-1.69926
2017,147,2,33,-1.69926
2017,147,2,34,-1.69927
2017,147,2,35,-1.69927
2017,147,2,36,-1.69928
2017,147,2,37,-1.69928
2017,147,2,38,-1.69929
2017,147,2,39,-1.69929
2017,147,2,40,-1.69929
2017,147,2,41,-1.6993
2017,147,2,42,-1.60867
2017,147,2,43,-1.58601
2017,147,2,44,-1.58602
2017,147,2,45,-1.58036
2017,147,2,46,-1.64267
2017,147,2,47,-1.654
2017,147,2,48,-1.69931
2017,147,2,49,-1.68232
2017,147,2,50,-1.56904
2017,147,2,51,-1.53505
2017,147,2,52,-1.48974
2017,147,2,53,-1.49539
2017,147,2,54,-1.40476
2017,147,2,55,-1.50105
2017,147,2,56,-1.45574
2017,147,2,57,-1.39909
2017,147,2,58,-1.49539
2017,147,2,59,-1.55769
2017,147,3,0,-1.62567
2017,147,3,1,-1.6993
2017,147,3,2,-1.6993
2017,147,3,3,-1.6993
2017,147,3,4,-1.6993
2017,147,3,5,-1.75029
2017,147,3,6,-1.81826
2017,147,3,7,-1.83526
2017,147,3,8,-1.76162
2017,147,3,9,-1.76729
2017,147,3,10,-1.69931
2017,147,3,11,-1.69931
2017,147,3,12,-1.69931
2017,147,3,13,-1.6993
