Year,DOY,hour,minute,Global Horiz [W/m^2]
2017,365,21,0,-0.73951
2017,365,21,1,-0.73951
2017,365,21,2,-0.73951
2017,365,21,3,-0.73951
2017,365,21,4,-0.73951
2017,365,21,5,-0.73951
2017,365,21,6,-0.73951
2017,365,21,7,-0.73951
2017,365,21,8,-0.73951
2017,365,21,9,-0.73951
2017,365,21,10,-0.73951
2017,365,21,11,-0.73951
2017,365,21,12,-0.71486
2017,365,21,13,-0.72103
2017,365,21,14,-0.60394
2017,365,21,15,-0.39749
2017,365,21,16,-0.40057
2017,365,21,17,-0.5608
2017,365,21,18,-0.68714
2017,365,21,19,-0.72411
2017,365,21,20,-0.73952
2017,365,21,21,-0.73952
2017,365,21,22,-0.73952
2017,365,21,23,-0.73952
2017,365,21,24,-0.73952
2017,365,21,25,-0.75184
2017,365,21,26,-0.79498
2017,365,21,27,-0.92132
2017,365,21,28,-1.0908
2017,365,21,29,-1.1124
2017,365,21,30,-1.1339
2017,365,21,31,-1.1709
2017,365,21,32,-1.1617
2017,365,21,33,-1.2171
2017,365,21,34,-1.3835
2017,365,21,35,-1.476
2017,365,21,36,-1.4791
2017,365,21,37,-1.5253
2017,365,21,38,-1.6516
2017,365,21,39,-1.741
2017,365,21,40,-1.8365
2017,365,21,41,-1.8488
2017,365,21,42,-1.8488
2017,365,21,43,-1.8488
2017,365,21,44,-1.8488
2017,365,21,45,-1.8488
2017,365,21,46,-1.8488
2017,365,21,47,-1.8488
2017,365,21,48,-1.8488
2017,365,21,49,-1.8488
2017,365,21,50,-1.8489
2017,365,21,51,-1.7873
2017,365,21,52,-1.7379
2017,365,21,53,-1.7903
2017,365,21,54,-1.8396
2017,365,21,55,-1.8489
2017,365,21,56,-1.8488
2017,365,21,57,-1.8488
2017,365,21,58,-1.8488
2017,365,21,59,-1.8488
2017,365,22,0,-1.8488
2017,365,22,1,-1.8488
2017,365,22,2,-1.8488
2017,365,22,3,-1.8488
2017,365,22,4,-1.8488
2017,365,22,5,-1.855
2017,365,22,6,-2.0029
2017,365,22,7,-2.2155
2017,365,22,8,-2.4282
2017,365,22,9,-2.5884
2017,365,22,10,-2.5884
2017,365,22,11,-2.5884
2017,365,22,12,-2.5884
2017,365,22,13,-2.5884
2017,365,22,14,-2.6254
2017,365,22,15,-2.7147
2017,365,22,16,-2.7425
2017,365,22,17,-2.6439
2017,365,22,18,-2.5915
2017,365,22,19,-2.5884
2017,365,22,20,-2.5791
2017,365,22,21,-2.5576
2017,365,22,22,-2.499
2017,365,22,23,-2.4435
2017,365,22,24,-2.311
2017,365,22,25,-2.2556
2017,365,22,26,-2.2187
2017,365,22,27,-2.2187
2017,365,22,28,-2.2187
2017,365,22,29,-2.2187
2017,365,22,30,-2.2187
2017,365,22,31,-2.2434
2017,365,22,32,-2.3513
2017,365,22,33,-2.5454
2017,365,22,34,-2.5886
2017,365,22,35,-2.5886
2017,365,22,36,-2.5886
2017,365,22,37,-2.5886
2017,365,22,38,-2.5886
2017,365,22,39,-2.5887
2017,365,22,40,-2.5517
2017,365,22,41,-2.4623
2017,365,22,42,-2.5209
2017,365,22,43,-2.5887
2017,365,22,44,-2.5887
2017,365,22,45,-2.5949
2017,365,22,46,-2.5887
2017,365,22,47,-2.5887
2017,365,22,48,-2.5887
2017,365,22,49,-2.5887
2017,365,22,50,-2.5887
2017,365,22,51,-2.5795
2017,365,22,52,-2.4131
2017,365,22,53,-2.2189
2017,365,22,54,-1.9816
2017,365,22,55,-1.8491
2017,365,22,56,-1.8491
2017,365,22,57,-1.8491
2017,365,22,58,-1.8491
2017,365,22,59,-1.8491
2017,365,23,0,-1.846
2017,365,23,1,-1.5656
2017,365,23,2,-1.4793
2017,365,23,3,-1.4793
2017,365,23,4,-1.4793
2017,365,23,5,-1.4793
2017,365,23,6,-1.504
2017,365,23,7,-1.5933
2017,365,23,8,-1.5163
2017,365,23,9,-1.4824
2017,365,23,10,-1.4793
2017,365,23,11,-1.4793
2017,365,23,12,-1.4793
2017,365,23,13,-1.4793
2017,365,23,14,-1.4793
2017,365,23,15,-1.4793
2017,365,23,16,-1.4793
2017,365,23,17,-1.4793
2017,365,23,18,-1.4793
2017,365,23,19,-1.4886
2017,365,23,20,-1.6704
2017,365,23,21,-1.8368
2017,365,23,22,-1.8491
2017,365,23,23,-1.8491
2017,365,23,24,-1.8492
2017,365,23,25,-1.8492
2017,365,23,26,-1.8368
2017,365,23,27,-1.8461
2017,365,23,28,-1.8492
2017,365,23,29,-1.8492
2017,365,23,30,-1.8492
2017,365,23,31,-1.8492
2017,365,23,32,-1.92
2017,365,23,33,-1.9355
2017,365,23,34,-1.8492
2017,365,23,35,-1.8492
2017,365,23,36,-1.8492
2017,365,23,37,-1.8492
2017,365,23,38,-1.8492
2017,365,23,39,-1.8492
2017,365,23,40,-1.9354
2017,365,23,41,-2.219
2017,365,23,42,-2.0341
2017,365,23,43,-1.8492
2017,365,23,44,-1.8492
2017,365,23,45,-1.8492
2017,365,23,46,-1.8492
2017,365,23,47,-1.8492
2017,365,23,48,-1.8492
2017,365,23,49,-1.8492
2017,365,23,50,-1.8492
2017,365,23,51,-1.8492
2017,365,23,52,-1.8492
2017,365,23,53,-1.8337
2017,365,23,54,-1.7783
2017,365,23,55,-1.6797
2017,365,23,56,-1.4947
2017,365,23,57,-1.4917
2017,365,23,58,-1.5379
2017,365,23,59,-1.732
2018,1,0,0,-1.7598
2018,1,0,1,-1.6951
2018,1,0,2,-1.8338
2018,1,0,3,-1.8492
2018,1,0,4,-1.8492
2018,1,0,5,-1.8492
2018,1,0,6,-1.8492
