Time(sec),Load
0.0,0.2872
60.0,0.24
120.0,0.2305
180.0,0.2475
240.0,0.221
300.0,0.2668
360.0,0.2675
420.0,0.2857
480.0,0.2767
540.0,0.2325
600.0,0.2855
660.0,0.2178
720.0,0.2597
780.0,0.2385
840.0,0.235
900.0,0.2133
960.0,0.2507
1020.0,0.2723
1080.0,0.23
1140.0,0.3318
1200.0,0.2533
1260.0,0.2755
1320.0,0.2732
1380.0,0.29100000000000004
1440.0,0.2548
1500.0,0.2907
1560.0,0.2862
1620.0,0.2718
1680.0,0.2855
1740.0,0.2733
1800.0,0.2398
1860.0,0.2283
1920.0,0.245
1980.0,0.2297
2040.0,0.2253
2100.0,0.2517
2160.0,0.27399999999999997
2220.0,0.213
2280.0,0.268
2340.0,0.24100000000000002
2400.0,0.2367
2460.0,0.2557
2520.0,0.253
2580.0,0.2525
2640.0,0.2327
2700.0,0.282
2760.0,0.2672
2820.0,0.2572
2880.0,0.2337
2940.0,0.2318
3000.0,0.2805
3060.0,0.20600000000000002
3120.0,0.265
3180.0,0.2732
3240.0,0.278
3300.0,0.2675
3360.0,0.1993
3420.0,0.2707
3480.0,0.28800000000000003
3540.0,0.2118
3600.0,0.2342
3660.0,0.2633
3720.0,0.2502
3780.0,0.1728
3840.0,0.2535
3900.0,0.2517
3960.0,0.2343
4020.0,0.2222
4080.0,0.258
4140.0,0.2542
4200.0,0.2647
4260.0,0.2683
4320.0,0.2748
4380.0,0.2687
4440.0,0.2567
4500.0,0.3213
4560.0,0.2775
4620.0,0.2865
4680.0,0.2515
4740.0,0.2758
4800.0,0.2527
4860.0,0.23600000000000002
4920.0,0.2138
4980.0,0.2048
5040.0,0.3058
5100.0,0.3122
5160.0,0.2592
5220.0,0.2312
5280.0,0.2603
5340.0,0.2447
5400.0,0.2565
5460.0,0.3143
5520.0,0.2548
5580.0,0.2548
5640.0,0.2392
5700.0,0.2358
5760.0,0.2762
5820.0,0.2593
5880.0,0.2727
5940.0,0.2192
6000.0,0.2382
6060.0,0.2577
6120.0,0.21100000000000002
6180.0,0.24600000000000002
6240.0,0.2442
6300.0,0.2757
6360.0,0.2675
6420.0,0.2845
6480.0,0.2262
6540.0,0.247
6600.0,0.2498
6660.0,0.2218
6720.0,0.2802
6780.0,0.28300000000000003
6840.0,0.2317
6900.0,0.2332
6960.0,0.3255
7020.0,0.2717
7080.0,0.2378
7140.0,0.2693
7200.0,0.2585
7260.0,0.3117
7320.0,0.2532
7380.0,0.2303
7440.0,0.2798
7500.0,0.2408
7560.0,0.2842
7620.0,0.3052
7680.0,0.2123
7740.0,0.2128
7800.0,0.245
7860.0,0.2882
7920.0,0.2155
7980.0,0.305
8040.0,0.257
8100.0,0.2197
8160.0,0.3132
8220.0,0.24600000000000002
8280.0,0.2495
8340.0,0.235
8400.0,0.2643
8460.0,0.2397
8520.0,0.2647
8580.0,0.2282
8640.0,0.2407
8700.0,0.3118
8760.0,0.3048
8820.0,0.27399999999999997
8880.0,0.2827
8940.0,0.2502
9000.0,0.2558
9060.0,0.2178
9120.0,0.23199999999999998
9180.0,0.2153
9240.0,0.3037
9300.0,0.2952
9360.0,0.276
9420.0,0.3375
9480.0,0.248
9540.0,0.32799999999999996
9600.0,0.301
9660.0,0.2508
9720.0,0.3082
9780.0,0.267
9840.0,0.2187
9900.0,0.3043
9960.0,0.3325
10020.0,0.245
10080.0,0.187
10140.0,0.1957
10200.0,0.2065
10260.0,0.24100000000000002
10320.0,0.2852
10380.0,0.26
10440.0,0.297
10500.0,0.2237
10560.0,0.3378
10620.0,0.2848
10680.0,0.305
10740.0,0.2833
10800.0,0.2955
10860.0,0.29
10920.0,0.20800000000000002
10980.0,0.22
11040.0,0.2377
11100.0,0.2715
11160.0,0.308
11220.0,0.22
11280.0,0.2948
11340.0,0.24600000000000002
11400.0,0.3182
11460.0,0.2362
11520.0,0.2173
11580.0,0.25
11640.0,0.2653
11700.0,0.2977
11760.0,0.2713
11820.0,0.273
11880.0,0.2752
11940.0,0.2023
12000.0,0.2025
12060.0,0.2658
12120.0,0.2437
12180.0,0.2218
12240.0,0.2952
12300.0,0.3133
12360.0,0.2348
12420.0,0.2378
12480.0,0.22
12540.0,0.2135
12600.0,0.2327
12660.0,0.2423
12720.0,0.2572
12780.0,0.2233
12840.0,0.239
12900.0,0.2243
