DC1_TotalEnergy, DC1_RenEnergy, DC2_TotalEnergy, DC2_RenEnergy, DC3_TotalEnergy, DC3_RenEnergy, DC4_TotalEnergy, DC4_RenEnergy,
7219.486, 3737.713, 7219.559, 3182.794, 7219.451, 3443.234, 7222.639, 3675.835, 
7220.193, 3631.402, 7220.235, 3541.162, 7220.215, 3469.904, 7220.490, 3353.666, 
7220.243, 3696.223, 7220.316, 3400.663, 7220.204, 3356.555, 7220.369, 3400.446, 
7220.356, 3676.302, 7220.193, 2450.593, 7220.344, 3250.929, 7220.239, 3943.614, 
7220.067, 3675.271, 7220.347, 2492.133, 7220.262, 3484.480, 7220.456, 3953.767, 
7220.211, 3242.933, 7220.308, 3378.943, 7220.433, 3351.094, 7220.181, 3909.123, 
7220.421, 3236.071, 7220.124, 3525.925, 7220.274, 3445.521, 7220.313, 3256.832, 
7220.287, 3559.637, 7220.247, 3801.030, 7220.320, 3463.450, 7220.278, 3352.007, 
7220.480, 3677.248, 7220.029, 3776.420, 7220.311, 3043.634, 7220.313, 3505.351, 
7220.227, 3607.106, 7220.413, 3857.731, 7220.285, 3554.887, 7220.207, 3232.862, 
7220.206, 3659.929, 7220.236, 3528.929, 7220.284, 3500.085, 7220.407, 3566.948, 
7220.242, 3631.639, 7220.311, 3197.926, 7220.246, 2660.437, 7220.333, 3197.886, 
7220.265, 3670.062, 7220.136, 2849.351, 7220.374, 3480.282, 7220.358, 3246.400, 
7220.286, 3676.915, 7220.576, 3258.719, 7220.262, 3517.198, 7220.008, 3285.528, 
7220.513, 3696.305, 7220.139, 3652.262, 7220.310, 3513.177, 7220.170, 3383.431, 
7220.042, 3688.439, 7220.299, 3146.241, 7220.523, 3491.494, 7220.269, 3357.476, 
7220.323, 3705.035, 7220.245, 2835.129, 7220.355, 3471.440, 7220.209, 3244.194, 
7220.239, 2853.340, 7220.368, 3326.910, 7220.281, 3543.691, 7220.245, 3148.022, 
7220.227, 3741.900, 7220.370, 3407.935, 7220.302, 3473.829, 7220.233, 3290.056, 
7219.854, 3049.018, 7220.199, 3403.018, 7220.531, 3387.169, 7220.549, 3471.212, 
7220.399, 3578.840, 7220.177, 3670.299, 7220.233, 3357.734, 7220.323, 3098.511, 
7220.399, 3625.046, 7220.352, 3741.836, 7220.212, 3549.860, 7220.168, 3354.122, 
7220.193, 3356.555, 7220.543, 3778.172, 7220.166, 3357.763, 7220.229, 3632.343, 
7220.264, 3266.762, 7220.031, 3577.346, 7220.445, 3314.751, 7220.392, 3629.043, 
7220.388, 3432.644, 7220.031, 3708.692, 7220.338, 3487.250, 7220.376, 3341.579, 
7220.340, 3616.085, 7220.444, 2993.663, 7220.128, 3403.630, 7220.220, 3450.216, 
7220.429, 3654.146, 7220.040, 2946.840, 7220.309, 3475.004, 7220.354, 3452.359, 
7220.391, 3475.353, 7220.180, 3598.755, 7220.317, 3326.698, 7220.244, 3402.493, 
7220.205, 3325.259, 7220.454, 3622.765, 7220.140, 3295.667, 7220.332, 3492.682, 
7220.049, 3649.570, 7220.377, 3721.835, 7220.292, 3306.112, 7220.414, 3051.042, 
